angleX,angleY,angleZ,label
-0.0,-0.0,-0.0,0
-0.01,-0.02,-0.0,0
-0.03,-0.05,-0.01,0
-0.05,-0.07,-0.01,0
-0.06,-0.09,-0.01,0
-0.07,-0.11,-0.01,0
-0.08,-0.14,-0.02,0
-0.1,-0.16,-0.02,0
-0.11,-0.18,-0.02,0
-0.12,-0.2,-0.02,0
-0.14,-0.22,-0.03,0
-0.15,-0.25,-0.03,0
-0.16,-0.27,-0.03,0
-0.17,-0.29,-0.04,0
-0.19,-0.32,-0.04,0
-0.2,-0.34,-0.04,0
-0.22,-0.36,-0.05,0
-0.23,-0.38,-0.05,0
-0.24,-0.41,-0.05,0
-0.26,-0.43,-0.06,0
-0.27,-0.45,-0.06,0
-0.28,-0.47,-0.06,0
-0.29,-0.5,-0.06,0
-0.31,-0.52,-0.07,0
-0.32,-0.54,-0.07,0
-0.33,-0.56,-0.07,0
-0.35,-0.58,-0.07,0
-0.36,-0.61,-0.08,0
-0.37,-0.63,-0.08,0
-0.39,-0.65,-0.08,0
-0.4,-0.67,-0.09,0
-0.42,-0.7,-0.09,0
-0.43,-0.72,-0.09,0
-0.44,-0.74,-0.09,0
-0.46,-0.76,-0.1,0
-0.47,-0.79,-0.1,0
-0.49,-0.81,-0.1,0
-0.5,-0.83,-0.1,0
-0.51,-0.85,-0.11,0
-0.52,-0.87,-0.11,0
-0.54,-0.9,-0.11,0
-0.55,-0.92,-0.12,0
-0.56,-0.94,-0.12,0
-0.57,-0.96,-0.12,0
-0.59,-0.98,-0.13,0
-0.6,-1.01,-0.13,0
-0.61,-1.03,-0.13,0
-0.62,-1.05,-0.13,0
-0.64,-1.07,-0.14,0
-0.65,-1.09,-0.14,0
-0.66,-1.12,-0.14,0
-0.68,-1.14,-0.14,0
-0.69,-1.16,-0.15,0
-0.71,-1.18,-0.15,0
-0.72,-1.2,-0.15,0
-0.74,-1.23,-0.15,0
-0.75,-1.25,-0.16,0
-0.76,-1.27,-0.16,0
-0.78,-1.29,-0.16,0
-0.79,-1.31,-0.17,0
-0.8,-1.34,-0.17,0
-0.81,-1.36,-0.17,0
-0.83,-1.38,-0.17,0
-0.84,-1.4,-0.18,0
-0.86,-1.43,-0.18,0
-0.87,-1.45,-0.18,0
-0.88,-1.47,-0.19,0
-0.89,-1.49,-0.19,0
-0.91,-1.51,-0.19,0
-0.92,-1.54,-0.2,0
-0.93,-1.56,-0.2,0
-0.95,-1.58,-0.2,0
-0.96,-1.6,-0.2,0
-0.98,-1.62,-0.21,0
-0.99,-1.64,-0.21,0
-1.0,-1.67,-0.22,0
-1.02,-1.69,-0.22,0
-1.03,-1.71,-0.22,0
-1.04,-1.73,-0.22,0
-1.05,-1.75,-0.23,0
-1.07,-1.78,-0.23,0
-1.08,-1.8,-0.23,0
-1.1,-1.82,-0.24,0
-1.11,-1.84,-0.24,0
-1.12,-1.87,-0.24,0
-1.14,-1.89,-0.24,0
-1.15,-1.91,-0.25,0
-1.16,-1.93,-0.25,0
-1.18,-1.95,-0.25,0
-1.19,-1.98,-0.26,0
-1.21,-2.0,-0.26,0
-1.22,-2.02,-0.26,0
-1.23,-2.04,-0.26,0
-1.25,-2.06,-0.27,0
-1.26,-2.09,-0.27,0
-1.27,-2.11,-0.27,0
-1.29,-2.13,-0.27,0
-1.3,-2.15,-0.28,0
-1.32,-2.18,-0.28,0
-1.33,-2.2,-0.28,0
-1.34,-2.22,-0.29,0
-1.36,-2.24,-0.29,0
-1.37,-2.26,-0.29,0
-1.38,-2.28,-0.29,0
-1.39,-2.3,-0.3,0
-1.41,-2.33,-0.3,0
-1.42,-2.35,-0.3,0
-1.43,-2.37,-0.3,0
-1.45,-2.39,-0.31,0
-1.46,-2.42,-0.31,0
-1.47,-2.44,-0.31,0
-1.49,-2.46,-0.31,0
-1.5,-2.48,-0.32,0
-1.52,-2.51,-0.32,0
-1.53,-2.53,-0.32,0
-1.54,-2.55,-0.33,0
-1.56,-2.57,-0.33,0
-1.56,-2.61,-0.32,0
-1.41,-2.73,-0.34,0
-1.49,-2.79,-0.35,0
-1.48,-2.82,-0.37,0
-1.19,-2.85,-0.41,0
-0.6,-3.16,-0.57,0
-0.76,-3.28,-0.63,0
2.5,-5.93,-2.0,0
5.33,-6.43,-3.42,0
6.45,-3.67,-0.17,0
3.19,-0.41,3.09,0
-0.06,2.84,6.34,0
-3.31,6.09,9.59,0
-0.15,5.11,12.84,0
3.1,1.85,14.31,0
6.35,-1.05,14.39,0
